frase,criterio,gpt,cohreForAi,NousResearch,Meta_llama,Google,Mixtrail,Zephyr-orpo,Copilot,Mistral,Mila,Sasha,Ari
1,1,2,5,0,8,0,0,0,7,0,10,8,10
2,1,2,3,0,0,7,0,0,2,0,4,10,6
3,1,3,5,0,0,6,0,0,2,0,8,10,0
4,1,5,0,0,0,5,0,0,2,5,0,0,0
5,1,2,6,0,8,7,0,0,1,0,10,5,10
6,1,2,0,0,8,7,0,0,1,8,0,0,0
7,1,0,0,0,2,7,0,0,7,5,0,0,0
8,1,0,0,0,4,7,0,0,5,0,0,0,0
9,1,0,0,0,2,7,0,0,0,0,0,0,0
10,1,5,0,0,2,7,0,0,0,0,0,0,0
11,1,0,0,0,0,7,0,0,8,0,0,0,0
12,1,0,0,0,0,7,10,0,5,1,0,0,0
13,1,0,0,0,0,7,0,0,3,0,0,0,0
14,1,0,0,0,0,7,0,0,8,0,0,0,0
15,1,0,0,0,0,7,0,0,5,0,0,0,0
16,1,0,0,0,0,7,0,0,7,0,0,0,0
17,1,7,4,0,0,7,0,0,8,0,0,0,0
18,1,0,0,0,0,7,0,0,7,0,0,0,0
19,1,0,0,0,0,6,0,0,7,0,0,0,0
20,1,0,0,0,0,7,0,0,6,0,0,0,0
21,1,0,0,0,0,7,0,0,5,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0,5,0
23,1,10,0,0,0,7,0,0,3,0,0,0,0
24,1,0,0,0,0,6,0,0,5,3,0,0,0
25,1,0,0,0,0,7,0,0,8,0,0,0,0
26,1,10,0,0,0,7,0,0,5,0,0,0,0
27,1,0,0,0,0,7,0,0,7,0,0,0,0
28,1,8,0,0,0,7,0,0,3,7,0,0,0
29,1,0,0,0,0,7,0,0,7,7,0,0,0
30,1,0,0,0,0,7,0,0,10,7,0,0,0
31,1,0,0,0,8,7,0,0,8,7,0,0,0
32,1,0,0,0,9,0,2,0,5,7,0,0,0
33,1,0,0,0,0,0,1,0,8,0,0,4,0
34,1,0,0,0,0,7,1,0,3,0,0,2,0
35,1,0,0,0,0,7,1,0,5,0,0,0,0
36,1,0,4,0,0,7,0,0,3,0,10,6,9
37,1,0,0,0,0,7,0,0,3,0,0,3,0
38,1,2,0,0,0,0,0,0,0,0,0,0,1
39,1,2,0,0,0,7,0,0,8,0,0,0,1
40,1,0,0,0,8,9,0,0,5,0,8,8,10
41,1,0,0,0,0,8,0,0,0,0,4,4,10
42,1,5,0,0,0,8,0,0,5,0,0,1,0
43,1,0,0,0,0,8,0,0,5,0,7,4,10
44,1,0,0,0,0,8,1,0,3,0,0,0,0
45,1,0,0,0,0,8,0,0,8,0,0,0,0
46,1,0,0,0,0,7,0,0,3,0,0,0,0
47,1,0,0,0,0,7,0,0,7,0,0,6,0
48,1,4,0,0,0,7,0,0,8,0,0,0,0
49,1,2,0,0,0,6,0,0,7,0,0,0,0
50,1,5,0,0,0,8,0,0,6,0,4,2,7
51,1,3,0,0,0,9,0,0,0,0,6,0,5
52,1,0,0,0,0,9,0,0,7,0,10,10,9
53,1,0,0,0,0,9,0,0,5,0,7,3,1
54,1,0,0,0,0,9,0,0,7,0,7,8,7
55,1,0,0,0,0,9,0,0,5,0,4,2,4
56,1,2,0,0,0,9,0,0,7,0,0,0,0
57,1,3,0,0,0,9,0,0,5,0,0,0,0
58,1,0,0,0,0,8,0,0,3,0,0,0,0
59,1,0,0,0,0,8,0,0,8,0,0,0,0
60,1,0,0,0,0,7,0,0,5,0,0,0,0
61,1,0,0,0,0,7,0,0,5,0,0,0,0
62,1,1,0,0,2,7,0,0,7,0,0,2,1
63,1,1,0,0,0,7,0,0,7,0,0,0,0
64,1,0,0,0,0,7,0,0,5,0,0,0,0
65,1,0,0,0,0,6,0,0,7,0,0,0,0
66,1,8,0,0,0,6,0,0,5,0,0,0,0
67,1,8,0,0,8,7,0,0,7,0,0,0,4
68,1,0,0,0,0,6,0,0,7,0,0,0,0
69,1,3,0,0,0,7,0,0,7,0,0,0,0
70,1,1,0,0,0,0,0,0,7,0,0,0,0
71,1,1,0,0,0,7,0,0,8,0,8,10,3
72,1,0,0,0,8,9,0,0,0,0,0,0,0
73,1,8,0,0,0,8,0,0,7,0,0,0,0
74,1,0,0,0,0,7,0,0,5,0,0,0,0
75,1,0,0,0,0,9,0,0,8,0,3,0,0
76,1,0,0,0,0,9,0,0,8,0,6,10,10
77,1,3,0,0,5,8,0,0,7,0,0,0,0
78,1,2,0,0,0,8,0,0,6,0,0,0,0
79,1,0,0,0,0,8,0,0,7,0,0,0,0
1,2,0,3,0,0,1,0,0,8,0,4,2,4
2,2,3,7,0,0,8,5,0,3,0,9,8,9
3,2,3,4,0,5,7,0,0,3,0,9,8,10
4,2,8,7,0,8,6,0,3,3,9,10,2,10
5,2,5,2,0,0,8,0,0,1,0,0,0,0
6,2,8,8,0,2,8,8,0,1,3,10,0,9
7,2,8,7,0,2,8,6,0,8,4,3,0,1
8,2,7,8,0,8,8,2,0,8,0,2,1,7
9,2,0,8,0,6,8,5,8,5,0,5,1,2
10,2,10,8,0,8,8,0,0,0,0,0,0,4
11,2,10,8,0,0,8,0,0,7,0,3,0,3
12,2,10,9,0,2,8,8,0,8,1,10,0,2
13,2,0,4,0,0,8,3,0,7,1,0,0,1
14,2,5,6,0,0,8,1,0,7,0,4,0,6
15,2,0,5,0,0,8,0,0,7,0,0,0,6
16,2,6,8,0,0,8,4,0,8,1,6,0,3
17,2,8,8,0,8,8,5,0,9,3,9,9,7
18,2,8,8,0,8,8,5,0,6,3,10,10,7
19,2,9,7,0,9,8,1,0,8,3,8,8,5
20,2,8,7,0,8,8,1,0,5,0,10,9,8
21,2,8,8,0,9,8,2,0,7,0,10,9,7
22,2,0,7,0,0,0,0,0,0,2,2,0,10
23,2,10,8,0,8,8,0,0,8,0,0,0,10
24,2,0,6,0,9,8,1,0,8,8,8,6,1
25,2,0,7,0,6,8,0,0,9,4,1,0,4
26,2,10,8,0,9,8,10,0,8,8,10,8,8
27,2,0,7,0,8,8,2,0,8,3,0,0,3
28,2,10,8,0,9,8,10,0,7,8,10,9,8
29,2,10,9,0,9,8,2,0,8,5,10,8,10
30,2,10,7,0,9,8,3,0,8,6,8,2,5
31,2,10,8,0,9,8,0,0,7,5,5,2,8
32,2,8,8,0,9,0,0,0,8,4,3,2,10
33,2,9,8,0,0,0,0,0,6,2,3,1,0
34,2,8,6,0,0,8,5,0,7,0,3,1,2
35,2,9,8,0,0,8,5,0,8,0,3,2,1
36,2,3,7,0,0,8,0,0,7,0,2,2,2
37,2,4,6,0,0,8,1,0,7,0,0,0,0
38,2,4,7,0,0,1,1,0,0,0,5,0,1
39,2,3,6,0,2,8,1,0,5,0,3,0,1
40,2,2,7,0,0,8,0,0,8,0,0,0,0
41,2,0,2,0,0,9,0,0,0,0,0,0,0
42,2,0,2,0,0,9,0,0,8,0,0,0,0
43,2,0,2,0,0,9,0,0,8,0,0,0,0
44,2,0,7,0,0,9,0,0,5,0,0,0,0
45,2,2,7,0,0,9,2,0,9,0,0,0,1
46,2,5,7,0,2,8,8,0,8,3,7,8,2
47,2,6,7,0,6,8,10,0,8,0,7,2,7
48,2,8,8,0,8,8,10,0,6,2,10,10,3
49,2,8,6,0,2,7,5,0,8,7,0,0,0
50,2,2,7,0,0,8,0,0,8,0,0,0,0
51,2,2,6,0,0,9,1,0,0,0,3,0,2
52,2,0,7,0,0,9,0,0,5,0,0,0,0
53,2,0,7,0,0,9,1,0,3,1,5,8,4
54,2,0,6,0,2,9,0,0,8,0,2,8,8
55,2,10,7,0,8,9,0,0,7,0,6,2,6
56,2,7,7,0,6,9,3,0,6,0,6,0,0
57,2,4,7,0,8,9,1,0,8,0,0,0,0
58,2,7,8,0,9,8,7,0,8,3,6,8,7
59,2,9,8,0,10,8,7,0,7,5,10,10,2
60,2,9,7,0,8,7,3,0,8,0,0,0,0
61,2,0,7,0,0,7,3,0,8,0,0,0,0
62,2,1,8,0,8,7,5,0,8,3,8,0,8
63,2,1,7,0,8,7,1,0,8,0,8,1,4
64,2,0,6,0,0,7,2,0,7,0,7,0,0
65,2,0,7,0,8,6,1,0,8,0,10,0,3
66,2,9,7,0,8,6,4,0,8,0,3,0,3
67,2,9,7,0,9,7,1,0,8,0,0,0,4
68,2,8,7,0,0,6,0,0,8,0,0,0,2
69,2,2,7,0,0,7,0,0,8,0,2,0,4
70,2,2,8,0,0,1,0,0,8,0,8,2,8
71,2,0,6,0,0,8,0,0,7,0,0,0,0
72,2,10,7,0,8,8,0,0,8,2,4,2,4
73,2,10,8,0,4,7,0,0,5,3,8,10,8
74,2,10,7,0,8,8,1,0,8,2,10,10,10
75,2,7,6,0,0,8,0,0,6,3,5,0,0
76,2,7,6,0,0,8,0,0,9,0,10,10,7
77,2,5,6,0,5,7,1,0,8,0,10,10,10
78,2,7,0,0,8,7,0,0,8,0,8,9,8
79,2,3,0,0,0,7,0,0,8,0,9,1,5
1,3,0,1,0,0,2,0,0,9,0,0,0,0
2,3,0,3,0,0,9,0,0,1,0,3,5,1
3,3,0,1,0,0,8,0,0,1,0,3,4,8
4,3,9,4,5,0,7,7,0,9,7,5,0,1
5,3,0,1,0,0,9,0,0,1,0,0,0,1
6,3,9,6,5,6,9,6,5,9,7,10,8,10
7,3,9,4,5,4,8,0,0,9,3,0,2,0
8,3,0,5,5,5,8,0,0,9,0,8,9,2
9,3,0,6,5,4,8,0,0,0,0,3,0,1
10,3,8,5,5,0,8,0,0,2,0,6,7,2
11,3,10,5,5,0,8,0,0,9,0,0,0,2
12,3,10,7,5,0,9,9,0,9,1,0,0,2
13,3,0,4,5,0,9,2,0,9,0,0,0,0
14,3,0,4,5,0,9,0,0,9,0,3,1,4
15,3,0,5,0,0,9,0,0,8,0,8,0,1
16,3,8,6,5,0,9,0,0,9,0,10,2,1
17,3,5,5,5,0,9,0,0,10,0,2,0,4
18,3,0,6,5,0,9,0,0,9,0,0,7,5
19,3,0,4,5,0,9,0,0,9,0,0,0,0
20,3,0,5,5,0,9,0,0,8,0,0,0,0
21,3,0,6,5,0,9,0,0,8,0,0,0,1
22,3,9,5,5,0,0,0,0,10,3,0,0,4
23,3,10,5,5,0,9,0,0,9,0,0,0,0
24,3,0,6,5,8,9,0,0,9,9,2,3,8
25,3,10,4,5,0,9,0,0,10,7,0,7,6
26,3,10,5,5,8,9,0,0,9,7,10,9,8
27,3,0,6,5,8,9,0,0,9,4,0,10,6
28,3,0,5,5,8,9,0,0,9,6,10,8,7
29,3,10,7,5,6,9,0,0,9,3,0,1,3
30,3,10,5,5,7,9,0,0,9,3,0,0,0
31,3,8,6,5,8,9,2,0,9,2,10,8,7
